date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-05-11,25,16,0.0,14.0,6,70,No moonrise,09:36 AM,05:51 AM,07:47 PM,-2,20,20,20,34,5,24,0.0,1012,25,10,239,26,california
2020-05-12,20,13,0.0,14.0,5,62,12:33 AM,10:35 AM,05:50 AM,07:47 PM,4,16,17,16,34,6,43,0.0,1012,20,10,246,28,california
2020-05-13,21,11,0.0,14.0,5,55,01:19 AM,11:35 AM,05:49 AM,07:48 PM,3,15,16,15,28,1,45,0.0,1013,21,10,255,22,california
2020-05-14,22,12,0.0,14.0,5,48,01:57 AM,12:34 PM,05:49 AM,07:49 PM,3,17,18,17,28,1,39,0.0,1013,22,10,270,22,california
2020-05-15,25,14,0.0,14.0,6,40,02:30 AM,01:32 PM,05:48 AM,07:50 PM,5,19,19,19,21,7,42,0.0,1012,25,10,278,16,california
2020-05-16,28,15,0.0,11.1,5,33,03:00 AM,02:27 PM,05:47 AM,07:50 PM,5,21,21,21,17,48,36,0.0,1010,28,10,239,13,california
2020-05-17,27,17,0.0,14.1,6,26,03:28 AM,03:23 PM,05:46 AM,07:51 PM,4,21,21,22,30,5,33,0.0,1010,27,10,234,23,california
2020-05-18,21,15,0.0,14.1,5,19,03:54 AM,04:17 PM,05:46 AM,07:52 PM,7,17,18,17,35,11,53,0.0,1011,21,10,230,28,california
2020-05-19,17,10,0.0,14.1,4,11,04:21 AM,05:13 PM,05:45 AM,07:53 PM,1,12,14,12,30,6,45,0.0,1012,17,10,264,25,california
2020-05-20,22,11,0.0,14.1,5,4,04:48 AM,06:09 PM,05:44 AM,07:53 PM,1,16,16,16,17,1,37,0.0,1015,22,10,264,12,california
2020-05-21,26,14,0.0,14.1,6,0,05:18 AM,07:07 PM,05:44 AM,07:54 PM,-1,20,19,20,14,11,27,0.0,1013,26,10,236,10,california
2020-05-22,25,16,0.0,14.1,6,0,05:51 AM,08:06 PM,05:43 AM,07:55 PM,2,20,20,20,31,5,31,0.0,1008,25,10,259,23,california
2020-05-23,24,14,0.0,14.1,6,3,06:28 AM,09:06 PM,05:43 AM,07:56 PM,-3,19,19,19,16,1,25,0.0,1011,24,10,242,11,california
2020-05-24,28,16,0.0,14.1,6,10,07:12 AM,10:04 PM,05:42 AM,07:56 PM,-4,21,21,22,13,3,19,0.0,1011,28,10,243,9,california
2020-05-25,32,19,0.0,14.2,7,17,08:02 AM,11:00 PM,05:42 AM,07:57 PM,-0,25,25,26,13,0,20,0.0,1011,32,10,188,9,california
2020-05-26,35,22,0.0,14.2,8,25,08:59 AM,11:51 PM,05:41 AM,07:58 PM,2,29,29,29,17,0,20,0.0,1011,35,10,236,11,california
2020-05-27,36,24,0.0,14.2,8,32,10:00 AM,No moonset,05:41 AM,07:58 PM,6,28,28,29,23,0,24,0.0,1011,36,10,248,15,california
2020-05-28,37,24,0.0,14.2,8,39,11:05 AM,12:36 AM,05:40 AM,07:59 PM,6,30,30,30,26,0,24,0.0,1011,37,10,222,17,california
2020-05-29,32,22,0.0,14.5,7,47,12:12 PM,01:17 AM,05:40 AM,08:00 PM,6,27,27,27,26,2,29,0.0,1011,32,10,213,19,california
2020-05-30,26,16,0.0,12.4,5,54,01:20 PM,01:54 AM,05:40 AM,08:00 PM,3,21,21,21,39,30,31,0.0,1013,26,10,229,30,california
2020-05-31,29,15,0.0,14.5,6,58,02:27 PM,02:28 AM,05:39 AM,08:01 PM,5,21,21,21,17,10,39,0.0,1011,29,10,238,13,california
2020-06-01,29,18,0.0,13.4,5,71,03:37 PM,03:01 AM,05:39 AM,08:01 PM,4,23,23,23,23,19,32,0.0,1011,29,10,236,17,california
2020-06-02,32,19,0.0,14.5,7,79,04:46 PM,03:35 AM,05:39 AM,08:02 PM,5,25,25,25,13,25,29,0.0,1013,32,10,197,9,california
2020-06-03,35,22,0.0,14.5,6,86,05:57 PM,04:10 AM,05:38 AM,08:03 PM,3,27,27,28,17,13,23,0.1,1012,35,10,236,12,california
2020-06-04,35,24,0.0,14.5,8,94,07:09 PM,04:49 AM,05:38 AM,08:03 PM,3,29,29,29,24,0,20,0.0,1008,35,10,235,17,california
2020-06-05,29,20,0.0,14.5,7,100,08:18 PM,05:34 AM,05:38 AM,08:04 PM,6,25,25,24,33,13,31,0.0,1006,29,10,229,24,california
2020-06-06,24,15,0.0,14.5,6,100,09:23 PM,06:23 AM,05:38 AM,08:04 PM,6,19,20,19,38,5,45,0.0,1008,24,10,247,31,california
2020-06-07,21,10,0.0,14.5,5,84,10:21 PM,07:19 AM,05:38 AM,08:05 PM,-3,14,16,14,46,0,31,0.0,1010,21,10,272,36,california
2020-06-08,25,11,0.0,14.5,5,76,11:11 PM,08:18 AM,05:38 AM,08:05 PM,-8,17,18,17,24,0,20,0.0,1016,25,10,150,17,california
2020-06-09,29,15,0.0,14.5,6,69,11:54 PM,09:20 AM,05:37 AM,08:06 PM,-8,22,22,23,13,0,15,0.0,1016,29,10,210,8,california
2020-06-10,33,19,0.0,14.5,7,61,No moonrise,10:21 AM,05:37 AM,08:06 PM,-6,26,26,26,15,0,13,0.0,1015,33,10,241,9,california
2020-06-11,34,21,0.0,14.5,7,54,12:30 AM,11:20 AM,05:37 AM,08:07 PM,-4,27,27,27,21,0,14,0.0,1014,34,10,232,15,california
2020-06-12,28,20,0.0,14.5,7,46,01:02 AM,12:17 PM,05:37 AM,08:07 PM,-4,25,25,24,34,2,17,0.0,1014,28,10,244,24,california
2020-06-13,25,12,0.0,14.5,5,38,01:30 AM,01:14 PM,05:37 AM,08:07 PM,2,19,19,19,26,2,37,0.0,1012,25,10,265,21,california
2020-06-14,29,14,0.0,14.5,6,31,01:57 AM,02:09 PM,05:37 AM,08:08 PM,1,21,21,21,17,0,28,0.0,1010,29,10,254,12,california
2020-06-15,31,17,0.0,14.5,6,23,02:23 AM,03:04 PM,05:37 AM,08:08 PM,3,23,23,24,21,15,28,0.0,1011,31,10,252,15,california
2020-06-16,29,16,0.0,14.5,6,16,02:50 AM,04:00 PM,05:38 AM,08:08 PM,3,22,22,22,31,1,29,0.0,1009,29,10,249,23,california
2020-06-17,29,16,0.0,14.5,6,8,03:19 AM,04:57 PM,05:38 AM,08:09 PM,2,22,22,23,19,0,27,0.0,1011,29,10,206,12,california
2020-06-18,32,18,0.0,14.5,7,1,03:50 AM,05:56 PM,05:38 AM,08:09 PM,-0,25,25,25,17,1,21,0.0,1010,32,10,204,12,california
2020-06-19,34,19,0.0,14.5,6,0,04:26 AM,06:55 PM,05:38 AM,08:09 PM,1,27,27,27,18,14,22,0.0,1010,34,10,214,11,california
2020-06-20,35,21,0.0,14.5,7,0,05:08 AM,07:55 PM,05:38 AM,08:09 PM,1,27,27,28,21,0,20,0.0,1011,35,10,243,14,california
2020-06-21,36,22,0.0,14.5,8,0,05:56 AM,08:53 PM,05:38 AM,08:10 PM,3,28,28,29,23,0,20,0.0,1010,36,10,253,15,california
2020-06-22,36,22,0.0,14.5,8,7,06:51 AM,09:47 PM,05:39 AM,08:10 PM,6,29,29,29,22,0,26,0.0,1011,36,10,220,14,california
2020-06-23,37,23,0.0,14.5,7,14,07:52 AM,10:35 PM,05:39 AM,08:10 PM,5,31,31,30,20,15,24,0.0,1010,37,10,219,13,california
2020-06-24,37,24,0.0,12.4,7,22,08:58 AM,11:18 PM,05:39 AM,08:10 PM,8,31,31,30,24,60,27,0.0,1007,37,10,227,16,california
2020-06-25,38,23,0.0,14.5,8,29,10:05 AM,11:56 PM,05:40 AM,08:10 PM,7,31,31,31,29,3,26,0.0,1006,38,10,243,19,california
2020-06-26,36,22,0.0,14.5,8,37,11:12 AM,No moonset,05:40 AM,08:10 PM,6,29,29,29,15,10,26,0.0,1008,36,10,209,10,california
2020-06-27,39,24,0.0,14.5,8,44,12:19 PM,12:30 AM,05:40 AM,08:10 PM,7,32,32,31,28,0,26,0.0,1007,39,10,237,19,california
2020-06-28,30,21,0.0,14.5,7,52,01:26 PM,01:03 AM,05:41 AM,08:10 PM,5,26,26,26,49,8,30,0.0,1004,30,10,231,34,california
2020-06-29,26,14,0.0,14.5,6,59,02:34 PM,01:36 AM,05:41 AM,08:10 PM,2,20,20,20,30,1,34,0.0,1009,26,10,229,21,california
2020-06-30,31,16,0.0,14.5,7,67,03:42 PM,02:09 AM,05:41 AM,08:10 PM,-0,24,24,24,16,0,23,0.0,1011,31,10,222,11,california
2020-07-01,32,19,0.0,14.5,7,72,04:51 PM,02:46 AM,05:42 AM,08:10 PM,3,26,26,26,32,0,25,0.0,1009,32,10,231,22,california
2020-07-02,32,18,0.0,14.5,7,79,06:00 PM,03:27 AM,05:42 AM,08:10 PM,1,25,25,25,29,0,23,0.0,1010,32,10,218,19,california
2020-07-03,34,18,0.0,14.5,7,86,07:07 PM,04:13 AM,05:43 AM,08:10 PM,-1,27,27,27,22,0,20,0.0,1013,34,10,217,15,california
2020-07-04,36,19,0.0,14.5,7,94,08:07 PM,05:05 AM,05:43 AM,08:10 PM,-3,28,28,28,22,0,15,0.0,1013,36,10,252,14,california
2020-07-05,36,20,0.0,14.5,8,100,09:01 PM,06:03 AM,05:44 AM,08:10 PM,-4,29,29,29,21,0,14,0.0,1011,36,10,263,14,california
2020-07-06,37,21,0.0,14.5,8,100,09:48 PM,07:04 AM,05:44 AM,08:09 PM,-5,29,29,29,23,0,12,0.0,1009,37,10,249,15,california
2020-07-07,35,19,0.0,14.5,7,85,10:26 PM,08:06 AM,05:45 AM,08:09 PM,-5,27,27,28,30,0,14,0.0,1009,35,10,250,20,california
2020-07-08,36,19,0.0,14.5,7,77,11:01 PM,09:07 AM,05:45 AM,08:09 PM,-3,28,28,28,26,0,15,0.0,1009,36,10,241,17,california
2020-07-09,37,19,0.0,14.5,8,70,11:31 PM,10:06 AM,05:46 AM,08:09 PM,-2,29,29,29,23,0,17,0.0,1009,37,10,231,14,california
2020-07-10,38,21,0.0,14.5,8,63,11:58 PM,11:03 AM,05:47 AM,08:08 PM,-1,29,29,30,19,2,15,0.0,1012,38,10,208,13,california
2020-07-11,40,23,0.0,14.5,8,55,No moonrise,11:59 AM,05:47 AM,08:08 PM,-1,33,33,32,23,4,14,0.0,1013,40,10,238,15,california
2020-07-12,41,27,0.0,14.5,9,48,12:24 AM,12:54 PM,05:48 AM,08:07 PM,3,35,35,34,26,4,15,0.0,1011,41,10,249,18,california
2020-07-13,37,25,0.0,14.5,8,41,12:51 AM,01:49 PM,05:48 AM,08:07 PM,-2,31,31,32,35,0,13,0.0,1009,37,10,239,23,california
2020-07-14,36,22,0.0,14.5,8,34,01:19 AM,02:45 PM,05:49 AM,08:07 PM,1,29,29,29,34,2,18,0.0,1010,36,10,227,22,california
2020-07-15,35,20,0.0,14.5,7,26,01:49 AM,03:43 PM,05:50 AM,08:06 PM,3,28,28,28,26,0,23,0.0,1010,35,10,216,16,california
2020-07-16,36,20,0.0,14.5,8,19,02:22 AM,04:42 PM,05:50 AM,08:06 PM,4,29,29,29,22,0,26,0.0,1010,36,10,211,14,california
2020-07-17,36,21,0.0,14.5,8,12,03:01 AM,05:43 PM,05:51 AM,08:05 PM,4,29,29,29,23,0,26,0.0,1012,36,10,218,15,california
2020-07-18,38,21,0.0,14.5,8,5,03:47 AM,06:41 PM,05:52 AM,08:05 PM,3,30,30,30,24,0,24,0.0,1012,38,10,221,16,california
2020-07-19,38,22,0.0,14.5,8,0,04:39 AM,07:38 PM,05:52 AM,08:04 PM,3,31,31,31,24,0,20,0.0,1011,38,10,252,16,california
2020-07-20,37,22,0.0,14.5,8,0,05:40 AM,08:29 PM,05:53 AM,08:04 PM,3,30,30,30,24,0,19,0.0,1010,37,10,258,16,california
2020-07-21,38,22,0.0,14.5,8,2,06:45 AM,09:15 PM,05:54 AM,08:03 PM,3,31,31,31,22,0,21,0.0,1008,38,10,235,14,california
2020-07-22,34,20,0.0,14.5,7,10,07:53 AM,09:56 PM,05:54 AM,08:02 PM,2,28,28,28,32,1,22,0.0,1008,34,10,227,22,california
2020-07-23,34,18,0.0,14.5,7,17,09:02 AM,10:32 PM,05:55 AM,08:02 PM,2,27,27,27,27,0,24,0.0,1009,34,10,228,17,california
2020-07-24,34,19,0.0,14.5,7,24,10:11 AM,11:06 PM,05:56 AM,08:01 PM,5,27,27,27,24,0,28,0.0,1009,34,10,221,15,california
2020-07-25,35,19,0.0,14.4,7,32,11:19 AM,11:39 PM,05:56 AM,08:00 PM,3,28,28,28,21,0,24,0.0,1010,35,10,222,13,california
2020-07-26,36,20,0.0,14.0,8,39,12:26 PM,No moonset,05:57 AM,07:59 PM,4,29,29,29,15,0,24,0.0,1011,36,10,202,9,california
2020-07-27,37,21,0.0,14.0,8,46,01:34 PM,12:11 AM,05:58 AM,07:59 PM,3,30,30,30,22,0,21,0.0,1010,37,10,225,14,california
2020-07-28,37,21,0.0,14.0,8,53,02:42 PM,12:46 AM,05:59 AM,07:58 PM,1,30,30,29,21,0,20,0.0,1010,37,10,196,13,california
2020-07-29,38,21,0.0,14.0,8,61,03:50 PM,01:25 AM,05:59 AM,07:57 PM,0,30,30,30,22,0,19,0.0,1010,38,10,221,14,california
2020-07-30,38,21,0.0,13.6,8,68,04:55 PM,02:08 AM,06:00 AM,07:56 PM,-2,31,31,30,22,0,17,0.0,1012,38,10,225,14,california
2020-07-31,40,24,0.0,11.6,8,72,05:57 PM,02:57 AM,06:01 AM,07:55 PM,2,33,33,33,25,0,15,0.0,1012,40,10,249,16,california
2020-08-01,39,23,0.0,11.6,8,82,06:53 PM,03:52 AM,06:02 AM,07:55 PM,-4,32,32,32,28,0,13,0.0,1012,39,10,268,18,california
2020-08-02,39,22,0.0,11.6,8,90,07:42 PM,04:51 AM,06:02 AM,07:54 PM,-6,31,31,31,28,0,10,0.0,1011,39,10,258,18,california
2020-08-03,39,22,0.0,11.6,8,97,08:23 PM,05:53 AM,06:03 AM,07:53 PM,-4,31,31,31,31,3,11,0.0,1011,39,10,271,20,california
2020-08-04,37,21,0.0,11.6,8,100,08:59 PM,06:54 AM,06:04 AM,07:52 PM,2,30,30,30,31,0,20,0.0,1010,37,10,247,19,california
2020-08-05,34,19,0.0,11.6,7,88,09:31 PM,07:54 AM,06:05 AM,07:51 PM,3,27,27,27,33,0,25,0.0,1009,34,10,241,21,california
2020-08-06,31,16,0.0,11.6,7,81,09:59 PM,08:52 AM,06:05 AM,07:50 PM,5,24,24,24,30,0,34,0.0,1009,31,10,229,19,california
2020-08-07,32,16,0.0,11.6,7,74,10:25 PM,09:49 AM,06:06 AM,07:49 PM,5,25,25,25,22,0,33,0.0,1011,32,10,221,14,california
2020-08-08,34,18,0.0,11.6,7,67,10:52 PM,10:44 AM,06:07 AM,07:48 PM,4,27,27,27,22,0,28,0.0,1013,34,10,218,14,california
2020-08-09,36,19,0.0,11.6,7,59,11:19 PM,11:39 AM,06:08 AM,07:47 PM,3,28,28,28,18,0,25,0.0,1012,36,10,210,11,california
2020-08-10,36,20,0.0,11.6,8,52,11:48 PM,12:34 PM,06:08 AM,07:46 PM,4,29,29,28,23,0,25,0.0,1011,36,10,223,15,california
2020-08-11,36,20,0.0,11.6,7,45,No moonrise,01:32 PM,06:09 AM,07:45 PM,4,28,28,28,27,0,25,0.0,1011,36,10,232,17,california
2020-08-12,37,20,0.0,11.6,8,38,12:19 AM,02:29 PM,06:10 AM,07:43 PM,1,30,30,29,26,0,20,0.0,1011,37,10,231,18,california
2020-08-13,37,23,0.0,10.4,7,30,12:55 AM,03:28 PM,06:11 AM,07:42 PM,4,30,30,30,18,26,21,0.5,1012,37,10,265,11,california
2020-08-14,38,24,0.0,11.6,8,23,01:37 AM,04:27 PM,06:11 AM,07:41 PM,7,31,31,31,15,7,24,0.0,1011,38,10,247,9,california
2020-08-15,41,28,0.0,11.6,9,16,02:26 AM,05:25 PM,06:12 AM,07:40 PM,7,35,35,35,14,13,20,0.0,1010,41,10,245,9,california
2020-08-16,41,28,0.0,11.6,9,8,03:23 AM,06:18 PM,06:13 AM,07:39 PM,8,35,35,35,14,7,22,0.0,1011,41,10,241,9,california
2020-08-17,42,28,0.0,11.6,9,1,04:26 AM,07:07 PM,06:14 AM,07:38 PM,8,36,36,35,18,18,22,0.0,1012,42,10,224,11,california
